text,sentiment
"It is alright... it feels like nothing on the face, and weird texture, smells like nothing too, you would think its very natural and light but something in it made my skin super unhappy, small red dots everywhere. I am not allergic to anything and nothing has ever done that to my face before.. i have super easy skin... this product is definitely has something that is NOT good for you",0
"This balm is excellent at removing makeup and leaving skin clean, but not stripped! Gentle and efficient.",2
"I was not crazy about this product, that I received as a complementary part of my #BeMineVoxBox from Influenster. While it did seem to pretty effectively moisturize my skin, my skin broke out and didn’t clear up until I had discontinued using it. Additionally, the packaging design felt really sub-par and was difficult to read and understand. I received this product complimentary for review purposes.",0
"Ot works great! You need to double cleanse, like with every other cleanser. Removes even waterproof makeup. Leaves skin clean, not dry, and not with filmy leftover product either .  My skin feels balanced for sure!!",2
"I feel like I’ve been searching for a skin care routine I love for 10 years and I think I’ve finally found a staple. While I’m not in love with the smell of this product, it dissipates quickly and the results are worth it. My pores look much smaller and some milia around my eyes is almost gone. I’ve been using this at night and Tidal in the mornings.",2
This face mask is really great for catching up on “me time“. I find the scent is wonderful. This mask works well if you have dry skin but don’t want to use something thick like a face cream. This would be a great gift for anyone who likes rose scents.,2
I was using the Bobbi Brown Hydrating Face Cream and loved it. The Sephora employee recommended this to me since it has extra vitamins. I couldn’t get past the smell. It smells floral-y and I don’t want my skincare products/ makeup to have a scent. Scents don’t do anything to help improve my skin. It works just the same as the hydrating face cream.,1
"I recently received a complimentary from Fresh. This such an amazing cream. I really love the texture of this cream, it is super nice sinking into the skin. This product works wonderfully, just perfect for my dry skin, especially during this winter time which is my skin feels so dry and flaky. I would say that this is my life savior, i highly recommend this product to everyone.",2
This sunscreen is amazing! I love the lightweight formula and typically gear towards Korean beauty sunscreens because of how light they are. But this one is so good. There’s no weird overcast and it applies evenly on my skin. My skin feels so soft. The packaging is beautiful too.,2
This smells great and really melts my makeup away! Double cleansing is an important step in my routine to get rid of my makeup and sunscreen. I recommend this and in general double cleansing to those who wear makeup or wear sunscreen!,2
"Product was recommended by a consultant for my combination skin. I love the fresh cucumber smell, but it leaves my skin dry and tight. It does remove my make-up, which is a plus. I’m also noticing my moisturizer sits on my skin since I started to use the face wash. With my old face wash, my moisturizer would get obsorbed quickly and work its magic.",1
Reduces redness amazingly well,2
"Love the smell, the taste and my lips are soft!!!!!!",2
"I’ve used a ton of lip treatments and this product is the best! Let’s just say they used to call me chapstick girl back in my prime. That sounds like an oxymoron, but really- I was a Bonne Bell poster child and 5th grade was really my peak. Anyways, this lip mask is amazing and completely worth it. I’ve used the berry flavor every night for a couple months now and the containern still looks nearly full. Definitely worth the price.",2
Nice packaging. Felt nice on my skin. Not sure it really has done anything for me though. I need to keep using it to see if there is any change. Didn’t break me out and I have sensitive skin.,1
"Love this. Put it on your eyelids or cheeks for some glow, on or on chapped lips, dry hands, cuticles, elbows. Can’t do without",2
"If you are consistent with it and use this product every single night, then you will notice the differences. My skin became brighter as well as more clear (acne-wise), and I feel like it helped with my oil a little bit as well. Overall, I’m super happy, and I went ahead and purchased a 2nd bottle when I ran out. :)",2
"My favorite cleanser! Not overly stripping, extremely refreshing and leaves my skin feeling so clean. For a while I was only able to get sample/travel sizes and was so thrilled to see the pump size available. Only reason for 4 stars is the price tag.",1
"I received this free from Influenster in exchange for my honest review. Upon opening the box, I was impressed by the sleek luxurious box Estee is known for. I felt super fancy. I used this eye cream for only two weeks and my very dark circle have been visibly reduced and my eye area is hydrated. I did not see much difference in my minimal lines but my main concerns are dark circles and hydration. I have used so many eye gels and creams with no results so I did not have high hopes but this is a holy grail for me. I don’t even have to use concealer everyday anymore!! The texture is a silky gel, a little goes a long way, it spreads easily and absorbs pretty quick. The high price tag is literally the only negative I can think of. I would highly highly recommend this product!",2
"The is the Goldilocks of facial moisturizer - not too greasy, perfect amount of nourishing properties that leaves my skin hydrated all day. I love that it’s core ingredient is Ashwagandha - such a natural",2
The coconut water wipes are refreshing and invigorating. Nice clean feeling without feeling over-dried.,2
I received this complimentary from Influsenter for testing purposes and I’m so glad I did. I was breaking out so badly from the season change in New England and this product helped heal my dry skin in less than a week. I usually have oily skin but the extra dry weather took a toll on my skin which caused a ton of breakouts. The formula is moisturizing but not too heavy which I like. The scent isn’t over powering and my face looks bouncy and glowing after. Definitely worth purchasing.,2
I got this in the birthday gift from Sephora and I love it!!! Even more than the serum that came with it. The texture is super unite and feels great on the skin. It is light enough that it doesn’t grease up my t-zone but it’s so moisturizing.,2
I love the fresh watermelon scent but the formula doesnt for my sensitive skin. It causes me to have a lot of redness.  This product may work well for someone with normal skin that just wants a very light moisturizer.,1
"I’m using this around 1,5 year, now noticed wrinkles on my forehead and neck. So, this product is great for radiance and hydrating, but just for this. It doesn’t fix wrinkles. I’m 35, combination skin. Just stop smoking.",1
This product was gifted to me by Dermalogica Sampling. This was something new to me and I was skeptical. I was pleasantly surprised with how soft my skin was after! I like the new concept of this exfoliant. I have sensitive skin and it did not irritate.,2
"I am currently using my 4th bottle. It gets absorbed so quickly, and it’s really moisturizing at the same time without any pearly pinkish texture or greasy feeling. Also it does not irritate my eyes. I can’t say that it works for the dark circles but does help the puffiness subsides. The only complain that I have is the bottle...I wish it has a pump so I don’t have to put my fingers inside of it.",1
"Wow, I can’t say enough good things about this balm!! Smell: amazing. That taste when you accidentally lick your lips: yummy enough to make you want to eat the whole tube. Hydration quality for lips that live and breathe in the wicked East Coast chill: impeccable. Sorry, Carmex, you just weren’t cutting it for me anymore. I’ve now gone and bought these in every scent.",2
"Lovely signature Tatcha scent and creamy smooth application. My skin’s been really dry recently, so I’ve been cycling through different moisturizers every two weeks, and this is one of the worst I’ve tried. It doesn’t absorb and leaves my skin feeling greasy and heavy instead of nourished. There are so so so many better skin creams out there.",0
I am in love!! I have been purchasing hyaluronic acid for years now. but off amazon oz naturals for 30 dollars same size bottle and it was good but not compared too this... and price point is absolutely amazing!!!   so impressed I am a forever customer as long as it stays here in canada!! great feel no oily skin and i have bad oil in my skin when I get a bad product.,2
I mean there isn’t enough good things I can say about this mask. If you have redness you can literally see this mask taking it away as it’s on. It makes your skin flawless and it’s amazing for acne prone skin. I’ll seriously cry if this is ever discontinued.,2
"This stuff is fantastic! Goes on smooth & lasts a long time. Smells yummy & doesn’t taste funky. Makes my lips smooth, pink & plump. I must have more!",2
This cleanser is very worth the hype! I have combo skin and gel cleansers tend to leave me dry and tight but not this one. Leaves my skin super soft. It seems to be evening out my post acne marks too.,2
"The longer I use this the more I love it. I am now on my 4th or 5th bottle. I exfoliate and wash my face in the morning then apply a few drops directly on my face and spread. I use a tinted moisturizer on top, and I’m good all day long. I have combination skin that tends to get dry in the winter, so this works for me. It does not make me break out. I foudn a secret to be regular face cleansing - it gets rid of excess oil.This is a staple in my beauty routine, I won’t live without it! It’s all natural, moisturizing, and my skin loves it. It’s pricey, so I hope they won’t keep raising the price.",2
"I wanted to like this product because it came highly recommended, but I quickly found that it was similar in consistency to petroleum jelly (like Vaseline) and didn’t really do anything remarkable for my face. I felt like to properly wash it off my face after applying, it required me to tug at my skin, and nearly always left my pores feeling clogged and dry afterwards. Usually I have the opposite problem with products, as I feel like they strip the oil from my face and make my skin too tight and dry. After a wash, my face would feel far more textured by the end of the day. I really disliked this. To make matters worse, when I finished the bottle, the product had started to mold inside the bottle and around the cap. I won’t be purchasing from Inkey list again after this one.",0
This product is absolutely wonderful! I’ve tried so many moisturizers and this is the only one that seems to work for my super dry and odd patchy oily parts of my skin. It is a but in the heavier side but it absorbs quickly and it’s definitely worth the price!,2
"I bought this product 2 weeks ago and saw a significant difference in my skin. My skin was severely dry (my cheeks were red from being chapped and dry). I was in dire need of a boost of hydration. I am a drunk elephant junkie...but I was told to give this a try. I’m SO happy I did! I use this morning and night. A MUST is your skin HAS to be a little damp for it to work. If not, it feels like it doesn’t absorb at all. I use this product with the tea tree toner from lush. I fully dry my face, spray the toner and pat 2 pumps all over my face. I’ve had zero problems with this method, however I fully understand everyone is different and this might not work for them. I noticed my skin was so much more hydrated after a few days! The redness on my cheeks went away as well (which I usually have slight redness, but that’s gone too). I also paired this at night with Sephora’s firming night cream (this did such wonders for my extremely dry skin) During the day I paired this with the toner from lush, this product and followed up with an eye cream & sephoras firming day cream.",2
"Posting this so people can relate if the same situation happens to them too, and looks like it does. I tried 2 deluxe samples of this and liked them. Then I purchased the moisturizing bomb because it was in a set. I had terrible white little pimples across my whole face. I didn’t think it was this product, but returned it anyway. I then tried a little sample of this aqua bomb and was ok so I went to purchase this aqua bomb in a set. Used for 3 days and broke out again really badly. I am not sure how bigger size is different from deluxe sizes, and I can’t be 100% this product is at fault, but my main retinol, vitamin c, acids, and all other more advanced skin care are the same. Maybe it didn’t work with one of them. Too bad because I initially really liked the product.",0
This product started working the very first night I used it. My lips have never felt so soft and smooth.,2
this product is amazing I love it especially if you’ve been out in the sun. I use it several times a day on days that I’m not wearing make up. It feels great on the skin.,2
"I couldn’t decide between this and “Hope in a Jar“ and I decided to go the cheaper route, and I’m so glad! I took home a sample of the Philosophy moisturizer and couldn’t stand how it felt on my face. This FAB Ultra Repair Cream is so much more light weight but still moisturizes. It barely has a scent and a little goes a long way. I’ll definitely continue to buy!",2
"I am not joking put this in your cart or go down to any Sephora store and get this now! It is one of the best products I’ve ever used. I used to get the occasional acne spot here and there, and have combo/oily skin. Now my skin is clear and radiant. After three months of using it, people have said my face is glowing (which never happened). It reduces my old scars, and smooths over other blemishes by the morning. I use this every night. A few drops goes a long way and have barely made a dent in the serum. I swear this stuff is magic, and I don’t mean this lightly. I am suspicious of miracle products, but I can honestly say that this really is. I love that it’s natural, and the smell is amazing. This is part of the small products I endorse seriously!",2
I love this moisturizer it’s super light weight. And it smells so refreshing I can’t wait to add it to my am/pm skin care routine.,2
"Shame on PTR for claiming this lifts and sweeps away anything. I’ve used PTR products for 10+ years with great success and I’m an exfoliation junkie. But this product does nothing but curdle up during application. I’m giving it 2 stars for the moisturizing benefits. Otherwise, don’t bother.",0
Dr Dennis Gross help me in my face am received this sample in pinchme,2
"I am huge on putting spf on my face, neck and chest. This particular sunscreen, you have to shake because it settles. So I was nervous about that, BUT after I applied it to my face I was happy! It’s light weight, I used it under makeup and it didn’t clog my pores.",2
"I have been wanting to try the vegan milk skincare line from Milk Makeup, and it did not disappoint!! This moisturizer was plump, creamy, and very hydrating! I have pretty dry, dull, and uneven skin texture; this vegan milk moisturizer helped me fix all of it! I am very thankful to have found a moisturizer that works for my skin, and not to mention had clean ingredients! My dry skin is not longer a huge barrier for me. This is a new holy grail product in my skincare routine! I received this moisturizer complimentary from influenster for testing purposes. #Complimentary #Influenster #VeganMilkMoisturizer",2
"Wow. Where do I begin with this amazing face wash, first time using it and I fell in love. Right after washing my face it left my skin super soft & glowy. Love the beads because they give you a perfect gentle scrub to remove all dirt but most importantly, it removed all my makeup without a problem. Im so in love with the smell & I will definitely recommend. Even though I received this from Influenster for free, once this bottle is gone, I will DEFINITELY go out and restock.",2
"I’ve been using this cleanser for years! I have combo/oily skin which is very prone to breakouts. This used to be the BEST cleanser.. It removed all oiliness, prevented breakouts, and washed away old makeup. However, something has been irritating as of lately. After washing my face with this, my foreheads gets very itchy and irritated. I also would have dried out skin around my T-zone. After dealing with it for awhile, I’m now on the lookout for a new cleanser.",0
"I love this product which is a great moisturizer, particularly for the body. However, I’ve only given it three stars because the packaging is terrible. Other than the 2 ounce size of this product, in which it is the most expensive, of course, all other sizes come in a plastic jar with a screw top lid. This exposes all of the product each time to the air and your fingers or the object used to get the moisturizer out so it can be used. I have always disliked using my fingers to retrieve a product from the packaging. I don’t like the way it contaminates it, the way it feels under my fingernails nor that I have to clean up my hands & the jar after each use no matter how careful I am. Please do better First Aide Beauty.",1
"I recently purchased the Sephora Waterproof makeup remover. I heard a YouTuber that I love say it was the best. So I didn’t even do any research, just bought it! I was so disappointed! Along with that order I got a sample of the cleansing balm. I AM SO IMPRESSED!!! I usually have mascara left under my eyes but not after I used this!!!! It doesn’t leave a residue or anything! So as soon as I am able to go to Sephora to return the other, I will be purchasing this!!!",2
I received this product complimentary from Fresh. I was so excited to find a product that would help my dry skin. This stuff is the bomb! It leaves my face feeling so very hydrated. I would love to try more products from this brand!,2
"Pros: Great for acne, firm and plump texture within hours/ days, in the summer I was able to skip moisturiser, simple ingredient list.Cons: Price. Price. Price.I will say this product works for what it is.  However, the price is probably one of the biggest scams in the industry.  It used to be one of the few essences on the market, but times have changed and the cost is just ridiculous.  Plus I have a good feeling a lot of the heavy lifting is done by everything but the “Pitera.“  I would probably purchase again while travelling  as it is sometimes available for almost less than half the retail price, then throw in the exchange rate and you’ve got yourself a deal.",1
I love the eye cream version of this so I thoughtI needed to try this. It smells very refreshing and feels nice going on but it’s much too light for me. My skin is sometimes super dry in the winter but right now since it’s gotten warmer it’s not. Probably just considered normal. If you’re looking for something very light this might be worth a try but for me it just didn’t do anything for my skin.,1
Love this product! It’s my number one go to product for dry lips. I’m never disappointed of how this preforms & the smell of it is just an added bonus!,2
"Amazing! i love the minty taste. its not super goey or sticky, which is good when your outside on a hot and humid day. when you first put it on, you feel your lips tingle. i love this lipbalm. i will def. buy when i run out",2
"This sugar lip treatment gifted to me by Fresh is probably one of my new favorites. The packaging is very pretty and sleek, and I love how it is a twist top. Upon looking at the product, it looks like a lipstick. However it is more of a buildable color and looks very natural on the lips. It makes my lips feel soft, but I would prefer it to feel a bit more hydrating. I do like how the product contains several vitamins and fruit oils.",2
"I started using this product about a year ago after all the youtube recommendations. You apply it on your dry face, which I thought was a quirky twist.Pros:-It definitely does what it says: removes all makeup with one wash. This product glides over my makeup like butter, and easily removes everything without irritation or excessive scrubbing-Like all Clinique products, it’s fragrance and irritant free-It lasts quite a while. I’m pretty generous with the amount I use each night and the jar lasts me around 4-5 months.Cons:-The milky cleanser leaves a slight waxy residue on my skin that is difficult to completely remove unless I blast my face with water-It’s definitely a one hit wonder. It’s awesome at removing all makeup, but has no other skin or acne benefits-The past two jars I’ve had, towards the end of the jars’ life, begin to emit a mildew smell and the thick waxy product disintegrates, leaving curds of wax swimming in an oil residue at the bottom of the jar. I suppose this is from bacteria buildup (which freaks me out because I’m generally a clean freak germaphobe) with the multiple use. The product volume lasts longer than it’s general use expiration date (not printed expiration date, which is 2 years).Overall, it’s a great makeup remover that should be followed up with your favorite face cleanser.",1
"This product is thick like a lotion, but still spreads evenly and you don’t need a lot of product. At first it does leave a greasy feeling to the skin, but as someone that is dry I absolutely love that! I know my face is being moisturized. I did receive this product complimentary for sampling purposes through influenster!",1
"I love the texture and how it makes my skin so supple and hydrated! Definitely for my dry pals out there. It a thick whipped gel texture and absorbs immediately into the skin. I also enjoy the scent a lot.  After showering I like to apply this on my face and it very refreshing. Knocked off one star because it is quite pricey in my books :( Will most likely purchase again if I have the funds. Will check out the aqua bomb next, seems great for summer!",1
"I really love this nourishing, fragrance-free cream from my favorite brand. It is such an amazing cream for the dry sensitive skin. It has restored my skin barrier and locked the hydration into the skin. The texture feels rich but it absorbs into the skin and gives my skin a healthy glow. I am very happy with the results so far and will continue to use it to get the long-term benefits.I strongly recommend this cream for all skin types, especially for dry skin types.",2
SHUT UP AND TAKE MY MONEY! This is literally a DREAM mask. The scent is amazing. The texture is perfect and the results are undeniable.,2
I bought the trial size and I absolutely loved it. Very gentle on the skin and cleans very well! It also helped reduce my redness and dryness.,1
"I bought the Flash Fix initially because I was so curious about the products over all.  After my first 2 days of using Good Genes, I went on and bought the full size bottle.  This product has completely changed my skin.  For years I have had very small clogged pores that nothing would get ride of.  I have facials quite frequently, wash my face religiously, exfoliate, use masks.. I had tried it all.  In just 3 days these issues dissipated.  It has been about a month now and the results are still the same- I use it once in the evening after I wash my face and pat dry, there’s a slight burning sensation when the chemicals are doing their work and then the next morning my skin is bright, hydrated, and blemish free.  I will note that it has not dried my skin out either.",2
"Not worth the price. I cleaned one half of my face with this and the other half used my usual makeup remover wipes, then with a cotton puff and some micellar water went over each side. The half that was “cleaned” with the Farmacy product had a little more makeup left behind and although it’s very oily, it dried out my skin. Would recommend trying a sample before purchasing.",0
"I received these products complimentary from Influenster for testing purposes. The are so many great things about this product. For starters the packaging is absolutely gorgeous and the balm comes with a little scoop for you to take out the product. I used this product to remove my makeup and it did a pretty good job. I usually use micellar water but this balm did a way better job than micellar water. The reason why I took 1 star off is because while rising it does take a while to get rid of the product, when they say to rinse thoroughly they mean it. At the end my face ended up looking and feeling great. I was impressed by the fact it didn’t dry my skin at all.",1
Y’all… I’ve been using this as hand cream and honestly it’s so good! My hands in this weather is cracked and irritated. This does not only have the hyaluronic acid to hydrate and draw moisture but it repairs without feeling sticky or greasy. I don’t think I ever need to spend $30+ for hand cream ever again. Buy this!,2
"My husband got the minty flavor and we fell in love. Just purchase the Black Tea and Blackberry today and it is hands down the best lip balm ever. Light scent and taste, nothing too crazy and doesn’t have any strange artificial aftertaste. Four thumbs up... or five stars. :)",2
Got this product free for review purpose. Try this exfoliator for 1 week and I like it. It leaves a fresh sensation on my face. Skin feels soft and clean. I like it that you could use it daily basis. I really recommend it.,2
"If you’re looking for a gentle daily exfoliator, this could be it! It has a gentle, rice and oatmeal scent and the product itself turns into a nice paste with water. Its definitely gentle enough for everyday use, and is not super harsh",1
I received this a #complimentary #phatglow facial mask through #influenster. I’ve used it a few times for a week now and i loved it! i have a sensitive skin and so far it works great! you just apply an even layer to clean dry face and massage it until it turns from pink to white which is really cool. rinse off or use a damp towel. My skin felt light and feels really tight after using it. i highly recommend this product!,1
"I received this product for free from Influenster. I have pretty dry skin and this worked great for me. It’s lightweight, yet still moisturizing. The scent is also amazing and helps me wake up feeling refreshed! Wil definitely purchase when I finish this jar. Love it!",2
I have very dry skin and using this stuff makes my skin so shiny and I love it.,2
"I received a gift card to select a product of my choice to review.I really love this moisturizer! I work in skincare and have sensitive skin, so I’m super picky about my products that I like to use. It’s super light weight and moisturizing and has been a game-changer during these winter months.",2
"I love Fresh products, so I’m very disappointed by this cleanser. First, the smell is horrid. It smells like cleaning fluid. I simply do not understand how some reviewers can say it smells good. But second, it’s not much of an exfoliant. The sugar crystals dissolve too quickly and then you’re left with a thick film that does not easily wash off. As I said, I love the brand, but this one is a miss and I will be returning it.",0
Love this.   Micro beads are very small and gentle.  Love the smell.  Wish there was a pump though..,2
"This feels like fresh water on your skin cooling , refreshing. Not sticky at all.",2
"I purchased this after having a lot of redness from allergy season and I have very sensitive skin. I do not like a lot of makeup as a result, of such skin sensitivity. I actually just use a little bit of this to even out my skin tone and provide more sunscreen protection. I do not wear a foundation - just this stuff and a light concealer. It really helps me have a natural look rather than perhaps big pink allergy eyes. Now- how to use it - you get a small dot size amount and let it warm up on your fingertips. Just pat on. A little goes a long way.",2
Moisturizing but not greasy. Soaks in well and makes for a good makeup primer. My skin is sensitive and this is soothing.,2
"I’m a fan! It can be a bit hard with applying, but I do love how it makes my skin look so soft and dewy. I loved how well it looks once it fully sets in. It does have a consistency of water which usually isn’t my thing, but it actually worked wonders. I received the product free for testing purposes from Influenster and Tatcha, and I didn’t expect it to work as amazingly as it did. It gave me a bit of skin confidence dare I say!",2
I like that it’s refreshing and I can use it to blot off any extra makeup,1
I loved the way this product felt while applying it. It was very smooth and made my face feel clean and fresh! I loved how it made my face feel after application. My face felt smooth and soft for over 12 hours after applying! I thought it was awesome to receive a product with ingredients like Greek yoghurt in it!,1
"My skin tends to be on the dry side and I had attempted use both in warm and colder weather and I didn’t react very well as it irritated my skin, made it red, patchy and extremely itchy. It does absorb quickly hence the two stars.",0
"I love this entire line and the cream is no exception. I use the serum, gel cream or this cream, and the calming mist so it’s hard to pinpoint what gives the best results but you really can’t go wrong. I don’t notice a huge difference between this cream and the gel formula but they both do a great job calming and hydrating my skin. If anything I wish this were even more hydrating to set it apart from the gel more but that only because I’m super dry! *I received this product complimentary for testing purposes",2
"I really wanted to like this product because I enjoy Fresh so much. I read so many great reviews I thought I would give it a shot. I was looking for an exfoliant as I was having some congested and clogged pores. This one exfoliates but very gently. The sugar granules do melt quite easy with the addition to water and makes it difficult to actually exfoliate. If you’re not big on scents I also would avoid this product. It doesn’t bother me, but I know some are sensitive. If you’re looking for a gentle or light exfoliant then this would be a nice product to try.",0
What can I say about this other than this is essential to my night time routine. I use this every night to take off my makeup. It is so gentle and so effective. It gets off my most stubborn eyeliner (I’m looking at you Lancôme Drama LiquiPencil) and waterproof mascara. My skin always feels so clean after I use it. It is perfect for using before a cleanser because it really takes of everything. I normally follow with the Clinique face wash for oily skin.,2
"Unlike some of the overnight creams I’ve tried, this makes my skin feel soft not sticky.  When I wake up my skin feels hydrates and smooth and ready for the next day.",2
It dries my lips out so bad. I don’t have an issue with dry or cracked lips but this only caused me to have exactly that ☹️,0
"Well, this is my first review and I felt the need to write one because this lip balm is a waste of money. I don’t think its great, its okay and I’ve been a lip balm addict for a very long time and have tried $1 to $40 lip balms. Stick with your current fav and don’t bother wasting your time on this one.",0
Excellent-I use this on severely chapped lips as well as on my kids’ sensitive dry cheeks and it works wonders. I am never without this salve!,2
"Very effective chemical peel! I use this peel every 2 or 3 nights before bed and on my very oily acne prone and sensitive skin it gives me healthy soft clear skin but no flaking, redness, dryness or any other bad skin issues like other peels have given me. I can see my black heads slowly shrinking away and my skin getting a nice radiance I didn’t have before! This definitely has improved my skin and I recommend it to everyone.",2
"This product is ultra hydrating for my skin in the arid environment I live in.  While I don’t think it makes wrinkles and fine lines go away, I think it moisturizes do well that it prevents them from getting worse.  It is thick, a little sticky, and looks oily at first, but after a few minutes it soaks in.  Works pretty well under my concealer too.",2
"I’ve only used a few times, so I can’t give a super in depth review, BUT I must say in the couple days I’ve been using it, I can already see a difference. My skin looks bright, and even just feels better. I do have sensitive, combination skin, and it does tingle a little, but I’m sure this will change after more uses. I haven’t noticed that my skin feels drier on the areas that are typically dry, in fact it feels quiet even these days. Will revisit this after I finish my sample size!",1
"Is it cooling? No it’s not, but it’s a really nice moisturizer.",2
